question_id	question	query
WebQTrn-1129	where did the cuban missile crisis happen	cuban missile crisis location
WebQTrn-113	what 's the national sport of puerto rico	national sport of puerto rico
WebQTrn-1130	what is benedict arnold famous for	benedict arnold famous for
WebQTrn-1131	where is the original mona lisa	original mona lisa location
WebQTrn-1132	what is jill wagner on wipeout	jill wagner role on wipeout
WebQTrn-1134	where is port lavaca tx	port lavaca tx location
WebQTrn-1135	which team does ronaldinho play for 2013	ronaldinho team 2013
WebQTrn-1136	what kind of books does nicholas sparks wrote	nicholas sparks book genres
WebQTrn-1138	what countries has spanish as their official language	countries with spanish as official language
WebQTrn-114	what religion are people in russia	major religions in russia
WebQTrn-1141	what business does raj kundra do	raj kundra profession
WebQTrn-1142	what movies is molly ringwald in	molly ringwald movies
WebQTrn-1144	what team does drogba play for 2013	drogba team 2013
WebQTrn-1148	what is the northeast of the united states	northeastern us states
WebQTrn-115	what did shawnee smith play in	shawnee smith shows
WebQTrn-1151	what timezone does sweden have	sweden time zone now
WebQTrn-1153	where does the zambezi river end	zambezi river end
WebQTrn-1157	where is mount vernon virginia	mount vernon virginia location
WebQTrn-1158	where is kia car from	kia car headquarters location
WebQTrn-1160	when did george w bush take office	george w bush year took office
WebQTrn-1162	what countries does the mississippi river run through	countries that border the mississippi river
WebQTrn-1163	in what modern country is the yucatan peninsula located	yucatan peninsula country
WebQTrn-1167	who does the voice of lois in family guy	voice of lois on family guy
WebQTrn-1168	what are all the movies channing tatum has been in	movies with channing tatum
WebQTrn-1169	where is the country of panama located	location of panama
WebQTrn-117	where did dr seuss go to school	dr seuss school
WebQTrn-1173	who was arthur miller influenced by	arthur miller influences
WebQTrn-1175	where is el salvador located	location of el salvador
WebQTrn-1177	what illnesses did george washington suffer from	george washington illnesses
WebQTrn-1179	what happened to nina simone	nina simone cause of death
WebQTrn-118	what team does luis suarez play for	luis suarez team
WebQTrn-1180	where is wellsville missouri	wellsville missouri location
WebQTrn-1182	who is the current queen of australia	current queen of australia
WebQTrn-1186	what did copernicus invented	copernicus inventions
WebQTrn-1188	where robert frost went to school	robert frost school
WebQTrn-119	what are dollars called in spain	money used in spain
WebQTrn-1191	what county is plainfield il in	plainfield il county
WebQTrn-1192	what country is the mekong river located in	mekong river country
WebQTrn-1193	who founded the sisters of saint joseph	sisters of saint joseph founders
WebQTrn-1199	what do people in south africa speak	language spoken in south africa
WebQTrn-12	who did draco malloy end up marrying	draco malloy wife
WebQTrn-120	who plays meg in family guy	voice of meg on family guy
WebQTrn-1202	what market does starbucks operate in	starbucks operating markets
WebQTrn-1203	what country does nike operate in	nike operating country
WebQTrn-1204	what cities are in oakland county michigan	cities in oakland county michigan
WebQTrn-1209	what is the parliament of canada called	parliament of canada name
WebQTrn-121	what high school did tim allen go to	tim allen high school
WebQTrn-1210	where is south carolina located	south carolina location
WebQTrn-1211	who are paul revere 's parents	paul revere parents
WebQTrn-1212	what political system does russia use	russia's political system
WebQTrn-1213	what are american staffordshire terriers	american staffordshire terriers
WebQTrn-1214	who is the current coach of the chicago bulls	chicago bulls current coach
WebQTrn-1217	who will michael schumacher drive for in 2013	michael schumacher team 2013
WebQTrn-1219	who were michael jackson 's brothers and sisters	michael jackson brothers and sisters
WebQTrn-122	what is the world 's tallest building in dubai called	world's tallest building in dubai
WebQTrn-1220	when is the last time the chicago bulls won a championship	chicago bulls last championship won
WebQTrn-1221	what is the braves mascot	braves mascot
WebQTrn-1222	where to stay in paris france	places to stay in paris france
WebQTrn-1223	what teams did george steinbrenner own	teams owned by george steinbrenner
WebQTrn-1224	who does christopher walken play in batman returns	christopher walken character in batman returns
WebQTrn-1228	what style of art did vincent van gogh do	vincent van gogh style of art
WebQTrn-1229	what was nicolaus copernicus discovery	nicolaus copernicus discoveries
WebQTrn-123	where does asiana airlines fly to	asiana airlines destinations
WebQTrn-1230	where did the tutsi come from	tutsi origin
WebQTrn-1231	what country did osama bin laden live in	osama bin laden living country
WebQTrn-1232	where was the roman empire centered	roman empire center
WebQTrn-1233	who played samuel sullivan in heroes	heroes samuel sullivan actor
WebQTrn-1234	which ocean does the murray river flow into	murray river ocean
WebQTrn-1235	what time zone is cincinnati oh in	cincinnati, oh time zone
WebQTrn-1238	what are west african countries	list of west african countries
WebQTrn-124	what movie did angelina jolie direct	movies directed by angelina jolie
WebQTrn-1240	where is mallorca	mallorca location
WebQTrn-1242	what years have the cubs been in the world series	cubs world series appearances
WebQTrn-1243	what car companies does ford motor company own	car companies owned by ford motor company
WebQTrn-1245	what type of government does the bahamas	bahamas government type
WebQTrn-1246	what style of music did jimi hendrix play	jimi hendrix genre
WebQTrn-1248	who played anakin skywalker in phantom menace	phantom menace anakin skywalker actor
WebQTrn-125	where did martin luther king got shot	martin luther king death place
WebQTrn-1250	where is luke afb arizona	luke afb arizona location
WebQTrn-1252	where was the battle of vicksburg located	battle of vicksburg location
WebQTrn-1254	where was the gallipoli campaign waged	gallipoli campaign location
WebQTrn-1255	what was lincoln 's wife 's name	lincoln wife name
WebQTrn-1257	what did king george vi die of	king george vi cause of death
WebQTrn-1258	what type of currency is used in the united kingdom	currency used in the uk
WebQTrn-1259	where did brad paisley graduate from college	brad paisley college
WebQTrn-126	where to visit near bangkok	places to go in bangkok
WebQTrn-1260	what city was robert kennedy killed in	robert kennedy city killed
WebQTrn-1262	who plays the new michael myers	michael myers played by
WebQTrn-1263	who was killed first tupac or biggie	biggie tupac killed first
WebQTrn-1264	what kind of currency to bring to mexico	mexico currency
WebQTrn-1265	who won the nobel peace prize in 2007	2007 nobel peace prize 
WebQTrn-1266	what theme songs did alan thicke wrote	 alan jackson theme songs
WebQTrn-1269	who is liz lemon getting married to	liz lemon marriage
WebQTrn-1270	who plays sarah wittle in jumanji	sarah wittile jumanji
WebQTrn-1271	what type of music is tchaikovsky	tchaikovsky music style
WebQTrn-1276	where is german an official language	official language germany
WebQTrn-1277	what language do you speak in iran	languages spoken in iran
WebQTrn-128	what year did tut became king	king tut enthroned time
WebQTrn-1286	what show is jill wagner on	jill wagner shows
WebQTrn-1288	what currency does senegal use	currency of senegal
WebQTrn-1291	what places made up the western roman empire	western roman empir places
WebQTrn-1294	what is vito corleone real name	vito corleone real name
WebQTrn-1298	what district does john cornyn represent	john cornyn district
WebQTrn-1299	when was the last superbowl win for the steelers	steelers last super bowl win
WebQTrn-13	which countries border the us	countries that border us
WebQTrn-1300	what language do they speak in argentina yahoo	languages spoken in argentina
WebQTrn-1301	who drafted kevin garnett	keving garnett draft
WebQTrn-1304	what did bruce jenner win gold for	bruce jenner gold medal
WebQTrn-1307	who is prime minister of japan 2011	prime minister of japan 2021
WebQTrn-131	where do baltimore ravens play	baltimore ravens stadium
WebQTrn-1310	who plays the voice of kovu	voice of baloo
WebQTrn-1311	who is martin luther king jr wife	martin luther king jr wife
WebQTrn-1313	what kind of money does the uk use	uk currency
WebQTrn-1314	what books did jules verne wright	jules verne books
WebQTrn-1316	where does the philadelphia union soccer team play	philadelphia union league
WebQTrn-1318	what 5 countries border ethiopia	ethiopias neighbors 
WebQTrn-1320	what type of planes does virgin america fly	virgin america airplanes
WebQTrn-1321	what city is the university of maryland university college in	university of maryland location
WebQTrn-1323	where was joseph p kennedy born	joseph p kennedy birthcity
WebQTrn-1328	what type of currency does egypt have	egypt currency
WebQTrn-1329	what club team is diego forlan on	diego forlan club
WebQTrn-1330	what state is kaplan university online located	kaplan online university  address
WebQTrn-1332	what timezone are the bahamas	time zone in bahamas
WebQTrn-1335	what inspired steinbeck to write	steinbeck writing inspiration
WebQTrn-1336	who is the leader of cuba 2012	cuba leader 2012
WebQTrn-1337	where did gareth southgate play	gareth southgate career
WebQTrn-1338	what musical instruments did duke ellington play	duke ellington music instruments
WebQTrn-1339	where is the bank of america pavilion	bank of america pavilion location
WebQTrn-134	who all has dated taylor swift	taylor swift dated
WebQTrn-1345	what movies did robert blake play in	robert blake movies
WebQTrn-1346	what tv shows are taped in new york city	tv shows taped in nyc
WebQTrn-135	what is the dominant language in israel	language in israel
WebQTrn-1350	who is prime minister of japan 2012	japan prime minister 2012
WebQTrn-1351	what city was barack obama born in	barack obama birthplace
WebQTrn-1353	what countries speak spanish wikipedia	list of countries that speak spanish
WebQTrn-1355	who runs china 2011	chinas leader 2011
WebQTrn-1356	what major airport is near destin florida	major airports near florida
WebQTrn-1357	what country did vasco da gama came from	vasco da gama origin
WebQTrn-1359	what countries was the vietnam war between	countries involved in the vietnam war
WebQTrn-136	what are the main languages of nigeria	main language in nigeria
WebQTrn-1360	what to see outside of paris	top sights outside of paris
WebQTrn-1363	where did laura ingalls wilder live	laura ingalls residence location
WebQTrn-1364	who did jason segel date	jason segel girlfriend
WebQTrn-1368	who plays young lex luthor in smallville	lex luthor actor
WebQTrn-1371	who makes lois griffin voice	lois griffin voice actor
WebQTrn-1373	what language do you speak in finland	languages spoken in finland
WebQTrn-1374	what kind of system of government does the united states have	type of government in usa
WebQTrn-1375	what inventions did da vinci made	da vinci inventions
WebQTrn-1376	what was lebron james rookie year	lebron james rookie year
WebQTrn-1377	what are shirley temple kids names	shirley temple kids names
WebQTrn-1378	who does malcom floyd play for	malcolm floyd role
WebQTrn-1379	what position does terrell owens play	terrell owens positions
WebQTrn-138	what bible does the catholic church follow	bible catholic church
WebQTrn-1382	what are the four official languages of nigeria	four official languages in nigeria
WebQTrn-1385	what was the name of tecumseh brother	names of the tecumseh brothers
WebQTrn-1386	what did donna summers die from	donna summers death reason
WebQTrn-1387	what year did allen iverson get married	allen iverson marriage year
WebQTrn-1388	where was selena gomez really born	selena gomez hometown
WebQTrn-1389	who did lamar odom sign with	lamar odom team
WebQTrn-1391	when did the battle of thermopylae occur	battle of thermopylae date
WebQTrn-1392	where did eleanor roosevelt go to school	eleanor roosevelt school
WebQTrn-1396	what do people speak in singapore	language spoken in singapore
WebQTrn-1399	what country is next to russia	countries next to russia
WebQTrn-14	where is rome italy located on a map	rome italy on map
WebQTrn-1403	what university did bill clinton graduated from	bill clinton college
WebQTrn-1408	who was louis kossuth	louis kossuth
WebQTrn-1409	what country do arabic people come from	arabic people oirigin
WebQTrn-141	who did rufus wainwright married	rufus wainwright spouse 
WebQTrn-1410	when did the red sox win the pennant	red sox win with pennant 
WebQTrn-1414	what type of legal system does italy have	italian legal system
WebQTrn-1416	what website did mark zuckerberg co founder	mark zuckerberg website cofounder
WebQTrn-1417	what bass does jared followill use	jared followill bass guitar
WebQTrn-1418	who played captain kirk in star trek	star trek captain kirk
WebQTrn-1419	what type of currency does the us have	currency in usa
WebQTrn-142	where did c.s. lewis go to college	cs lewis colledge
WebQTrn-1420	what currency does thailand use	currency used in thailand
WebQTrn-1423	what does rob kardashian do for living	rob kardashian job role
WebQTrn-1426	what can you do in palm springs ca	top things to do in palm springs ca
WebQTrn-1429	who is adam sandler	adam sandler
WebQTrn-143	what did nick clegg study at university	nick clegg major in university
WebQTrn-1435	what teams played in the 2010 stanley cup	stanley cup winners by team
WebQTrn-1436	what colony is john adams from	john adams colony of origin
WebQTrn-1439	what language do the assyrians speak	languages of assyrians
WebQTrn-1440	who plays mary jane in spiderman 3	mary jane spiderman 3
WebQTrn-1441	where was abraham lincoln buried	abraham lincoln buried
WebQTrn-1442	who was the grandson of king david 's father	grandsons of king david
WebQTrn-1443	when president lincoln was elected	lincoln elected president
WebQTrn-1448	who was marilyn monroe 's parents	marilyn monroe parents
WebQTrn-1449	what to do when traveling to london	top attractions london
WebQTrn-145	what school did cassie bernall go to	cassie bernall school
WebQTrn-1450	where is shoreditch	shoreditch places to go
WebQTrn-1452	where does the spanish language come from	origin of spanish language
WebQTrn-1455	what timezone is tennessee nashville	nashville tennessee time zone
WebQTrn-1456	what political party was henry clay	henry clay political affiliation
WebQTrn-1457	what is capital city of ontario	capital of ontario
WebQTrn-1458	what money is used in england	currency of england
WebQTrn-1459	who did corey feldman married	corey feldman wife
WebQTrn-1461	what was walt disney 's first cartoon called	walt disney first cartoon
WebQTrn-1462	what did mary harris jones accomplish	mary harris jones accomplishments
WebQTrn-1463	what currency do i need in egypt	currency of egypt
WebQTrn-1465	where is ellis park rugby stadium	ellis park rugby stadium location
WebQTrn-1466	what does the letters eu stand for	eu acronym
WebQTrn-1467	what are the 5 countries in the united kingdom	countries in the united kingdom
WebQTrn-1469	who is the state senator of kentucky	kentuckys senator
WebQTrn-147	what did rob kardashian get surgery for	rob kardashian surgery
WebQTrn-1470	where did douglas macarthur die	douglas macarthur deathplace
WebQTrn-1471	what does russian people speak	language of russians
WebQTrn-1472	who is playing jason morgan on general hospital	jason morgan on general hospital
WebQTrn-1473	where is hong kong china	hong kong location
WebQTrn-1474	what countries do they speak italian	countries that speak italian
WebQTrn-1475	who does david beckham play for in 2013	david beckham team 2013
WebQTrn-1477	who does blake griffin play for in the nba	nba blake griffin
WebQTrn-1478	who played mulder in the x files	mulder x files actor
WebQTrn-1479	what are bridgit mendler 's parents names	bridgit mendler parent names
WebQTrn-148	what did st. matthew do	st matthew job
WebQTrn-1480	what tourist attractions are in houston texas	houston texas tourist attractions
WebQTrn-1481	who are the current maryland senators	maryland senators
WebQTrn-1482	where is the capital of canada on the map	capital of canda
WebQTrn-1486	what form of government does greece use	type of government in greece
WebQTrn-1487	where did the columbia river begin	columbia river start location
WebQTrn-1488	who was the original voice of meg on family guy	voice of meg on family guy
WebQTrn-1492	what is jessica ennis sport	jessica ennis
WebQTrn-1495	where did joe namath live	joe namath residence
WebQTrn-1497	what films has kristen stewart starred in	kristen stewart movies
WebQTrn-15	what is nina dobrev nationality	nina dobrev nationality
WebQTrn-150	what was nelson mandela 's religion	nelson mandela religion
WebQTrn-1500	what does annie leibovitz do	annie leibovitz career
WebQTrn-1502	who did mike tomlin play for	mike tomlin actor
WebQTrn-1504	who is ben roethlisberger parents	ben roethlisberger parents
WebQTrn-1506	what are the zoroastrian scriptures called	zoroastrian scripture name
WebQTrn-1507	what political party is barack obama from	barack obama political party
WebQTrn-1508	what organization did martin luther king lead	organizations lead by martin luther king jr
WebQTrn-1511	what year did michael jordan started his career	michael jordan career start
WebQTrn-1512	what currency should you take to thailand	currencies in thailand
WebQTrn-1513	what kind of guitar does jemaine clement play	jemaine clement guitars
WebQTrn-1516	what kind of money is used in israel	currency in israel
WebQTrn-152	what is henry clay known for	henry clay facts
WebQTrn-1520	what is the zip code for trenton ohio	zip code trenton ohio
WebQTrn-1522	what is the work of charles darwin	charles darwin work
WebQTrn-1523	what movies have adam sandler been in	adam sandler movies
WebQTrn-1525	where did phil mickelson go to college	phil mickelson college
WebQTrn-1529	what does guyana speak	language in guyana
WebQTrn-1531	what year did the houston rockets win their first championship	houston rockets first championship win
WebQTrn-1532	what college did harry s. truman attend	harry s truman college
WebQTrn-1534	what county is minneapolis mn in	minneapolis county
WebQTrn-1535	what religion in thailand	religions in thailand
WebQTrn-1536	who is queen elizabeth 1 father	queen elizabeth the first father
WebQTrn-1538	what team is ronaldinho on	ronaldinho's team
WebQTrn-1541	what kind of government system does canada have	government type of canada
WebQTrn-1542	what type of government did sparta greece have	government type of sparta
WebQTrn-1545	what kind of voting system does japan have	voting system in japan
WebQTrn-1546	what are the names of all the countries in africa	names of countries in africa
WebQTrn-1550	where was nicki minaj born	nicki minaj birthplace
WebQTrn-1551	what was jesse james wife name	jesse james wife
WebQTrn-1552	who plays spike in buffy the vampire slayer	cast of buffy the vampire slayer
WebQTrn-1553	where was emperor hadrian born	hadrian emperor birthplace
WebQTrn-1554	when was gardasil released to the public	gardasil release date
WebQTrn-1555	who became president when roosevelt died in office	us presidents after roosevelt death
WebQTrn-1556	where did martin luther king went to school	martin luther king school
WebQTrn-1557	where did charles drew go to college	charles drew university
WebQTrn-1559	who voice acts peter griffin	peter griffin voice actor
WebQTrn-1560	who was charles darwin married to	charles darwin wife
WebQTrn-1561	who plays lynette on desperate housewives	lynette desperate housewives
WebQTrn-1562	what year was michael jordan rookie year	michael jordan rookie year
WebQTrn-1564	what did chadwick identify	chadwick discovery
WebQTrn-1566	where did kurt cobain die	kurt cobain deathplace
WebQTrn-1568	where was the battle of verdun held	battle of verdun location
WebQTrn-1571	who played kitt in knight rider	kitt from knight rider
WebQTrn-1572	what religion did the ottoman turks follow	religion of the ottoman empire
WebQTrn-1574	what timezone is toronto gmt	toronto time zone gmt
WebQTrn-1575	what religion is king henry viii	henry viii religion
WebQTrn-1577	where did james baldwin go to school	james baldwin education
WebQTrn-1579	where do you fly into for destin	airport to destin
WebQTrn-158	what cities does ryanair fly to	flight destinations from ryanair 
WebQTrn-1580	where did jane austen grow up	jane austen childhood place
WebQTrn-1581	what was basketball player michael jordan 's major in college	michael jordan major in college 
WebQTrn-1584	where does dr. sanjay gupta practice	dr sanjay gupta practice
WebQTrn-1585	what did newton discover or invent	isaac newton inventions
WebQTrn-1586	who played daniel larusso	daniel lissing actor
WebQTrn-1587	what happened to umaga wwe	wwe umaga wretler
WebQTrn-1589	who does david beckham play for in 2012	david beckham 2012 team
WebQTrn-159	what time zone is oklahoma state	oklahoma time zone
WebQTrn-1591	what movies did jj abrams direct	jj abrams directed movies
WebQTrn-1592	what countries does armenia border	countries that border armenia
WebQTrn-1594	what two countries speak italian	countries that speak italian
WebQTrn-1595	when richard nixon was president	richard nixon president
WebQTrn-1596	what job did martin luther king jr have	martin luther king jr occupation
WebQTrn-1597	what characters does seth macfarlane voice	seth macfarlane voice overs
WebQTrn-1598	where did macho camacho got shot at	macho camacho location shot
WebQTrn-160	who was the apostle paul considered to be	facts about the apostle paul
WebQTrn-1601	who is andrew carnegie and what did he do	andrew carnegie occupation
WebQTrn-1603	what form of government exists in china	china's form of government
WebQTrn-1606	when last did real madrid win the champions league	real madrid last champions league title
WebQTrn-1608	who is ruling north korea now	ruler of north korea
WebQTrn-161	what currency does ontario canada use	currency used in ontario canada
WebQTrn-1610	who does cristiano ronaldo play for now 2011	cristiano ronaldo team 2011
WebQTrn-1611	what state did henry clay represent	henry clay state representation
WebQTrn-1614	where was san gabriel arcangel located	san gabriel arcangel location
WebQTrn-1615	who was the emperor before nero	emperor before nero
WebQTrn-1616	what type of artwork did henri matisse produce	henri matisse painting styles
WebQTrn-1617	what is gibby 's mom 's name	gibbys mothers name
WebQTrn-1618	what type of music does ella fitzgerald sing	ella fitzgerald music genre
WebQTrn-1620	what are the best places to go in germany	best places to go in germany
WebQTrn-1621	what movies are directed by steven spielberg	movies by steven spielberg
WebQTrn-1622	what instrument does mike huckabee play	mike huckabee instruments played
WebQTrn-1623	what movies does matt damon play in	movies with matt damon
WebQTrn-1624	where is basque located	basque location
WebQTrn-1625	what movies does alyson stoner play in	alyson stoner movies
WebQTrn-1626	who did paul jr marry	paul jr wife
WebQTrn-1628	what region is czech republic in	czech republic region
WebQTrn-1629	who the voice of jack skellington	voice of jack skellington
WebQTrn-1631	who are the famous athletes in kenya	famous kenian athletes
WebQTrn-1632	what to see in staten island new york	sightseeing sights in staten island
WebQTrn-1634	what language do egyptians use	languages  in egypt
WebQTrn-1635	what teams did gretzky play on	gretzky's teams
WebQTrn-1637	who did wayne gretzky play 4	wayne gretzky career
WebQTrn-164	where was kennedy when he got shot	place jfk getting shot
WebQTrn-1645	where did the battle of new orleans start	the battle of new orleans location
WebQTrn-1646	what does the dominican republic speak	language in dominican republic
WebQTrn-1647	when did barry zito won the cy young	barry zito cy young award
WebQTrn-1648	who is paul revere and what did he do	paul revere
WebQTrn-165	who do derek fisher play for	derek fisher teams
WebQTrn-1651	where did cutler jay go to college	jay cutler college
WebQTrn-1652	who did etta james marry	etta james marriage
WebQTrn-1653	who played andy in toy story 3	andy toy story actor
WebQTrn-1657	what movies did miley cyrus play in	movies with miley cyrus
WebQTrn-1661	where does the panama canal run through	location of panama canal
WebQTrn-1662	what years did jackie robinson play baseball	jackie robinson baseball years
WebQTrn-1664	who all has steve nash played for	steve nash teams
WebQTrn-1665	where does jason statham live	jason statham residence
WebQTrn-1667	what language is cyprus using	language in cyprus
WebQTrn-1668	what to do in roatan bay	roatan bay activities
WebQTrn-1670	what is the rainforest in peru called	peru rainforest name
WebQTrn-1671	where is mount jefferson located	mount jefferson location
WebQTrn-1672	what is the state symbols of colorado	colorado state symbols
WebQTrn-1673	where did buzz williams go to college	buzz williams college
WebQTrn-1675	which airport is closest to the city of chicago	closest airport to downtown chicago
WebQTrn-1677	what movies did adam sandler play in	adam sandler movies 
WebQTrn-1679	where is washington d.c. at	washington dc located
WebQTrn-168	what was the name of the original seattle baseball team	seattle baseball team original name
WebQTrn-1680	who is the ravens quarterback 2012	baltimore ravens quarterback 2012
WebQTrn-1685	what is john steinbeck best known for	facts about john steinbeck
WebQTrn-1687	who nominated anthony kennedy	justice anthony kennedy
WebQTrn-1688	who was the voice of darth vader in episode iii	darth vader voice actor episode iii
WebQTrn-1689	what year did lamar odom play for the clippers	lamar odom clippers year
WebQTrn-1691	what is the government of chile	government in chile
WebQTrn-1694	where does the shannon river flow	river shannon stream
WebQTrn-1696	what is the political system of nigeria	nigeria political system
WebQTrn-1698	where is the battle of verdun located	battle of verdun location
WebQTrn-1702	what form of government does canada have	types of government in canada
WebQTrn-1703	what language does people speak in australia	languages spoken in australia
WebQTrn-1704	who married jessica simpson	jessica simpson husband
WebQTrn-1706	who controls panama	panama government
WebQTrn-1707	when did baltimore orioles win the world series	baltimore orioles world series wins
WebQTrn-1708	what to do and see in miami florida	things to do in miami florida
WebQTrn-1717	where was the earthquake in christchurch	christchurch earthquake magnitude
WebQTrn-1718	what timezone is reno nv	reno time zone
WebQTrn-172	where did the houston oilers football team go	houston oilers moved to where
WebQTrn-1722	what continent does the bahamas belong to	bahamas continent
WebQTrn-1723	where is baybrook mall	baybrook mall
WebQTrn-1725	where did isaac newton go to high school	isaac newton high school
WebQTrn-1726	what planet did princess leia call home	princess leia home planet
WebQTrn-1728	what kind of money do you use in costa rica	currency in costa rica
WebQTrn-1729	where is bob marley from where was he born	bob marley birthplace
WebQTrn-1730	what year did spudd webb won the dunk contest	spudd webb dunk contest win
WebQTrn-1735	what currency can you use in aruba	currency used in aruba
WebQTrn-1737	who is nolan ryan married to	nolan ryan wife
WebQTrn-174	where did pauley perrette go to college	pauley perrette college
WebQTrn-1740	what did neil say on the moon	neil armstrong speech on the moon
WebQTrn-1741	who played carlton banks	carlton banks actor
WebQTrn-1743	who is the current leader of cuba today	leader of cuba
WebQTrn-1752	what to do in hong kong for a week	things to see in hong kong
WebQTrn-1754	what influenced andy warhol 's work	andy warhol influenced by
WebQTrn-1755	what is fresno state 's zip code	zip code for fresno ca
WebQTrn-176	where was gabriel faure born	gabriel faure birthplace
WebQTrn-1762	what does icelandic sound like	icelandic sounds
